unicode,character,courier normal,courier bold,courier italic,courier bold-italic,helvetica normal,helvetica bold,helvetica italic,helvetica bold-italic,times normal,times bold,times italic,times bold-italic
0,"",,,,,,,,,,,,
1,"",,,,,,,,,,,,
2,"",,,,,,,,,,,,
3,"",,,,,,,,,,,,
4,"",,,,,,,,,,,,
5,"",,,,,,,,,,,,
6,"",,,,,,,,,,,,
7,"",,,,,,,,,,,,
8,"",,,,,,,,,,,,
9,"",,,,,,,,,,,,
10,"",,,,,,,,,,,,
11,"",,,,,,,,,,,,
12,"",,,,,,,,,,,,
13,"",,,,,,,,,,,,
14,"",,,,,,,,,,,,
15,"",,,,,,,,,,,,
16,"",,,,,,,,,,,,
17,"",,,,,,,,,,,,
18,"",,,,,,,,,,,,
19,"",,,,,,,,,,,,
20,"",,,,,,,,,,,,
21,"",,,,,,,,,,,,
22,"",,,,,,,,,,,,
23,"",,,,,,,,,,,,
24,"",,,,,,,,,,,,
25,"",,,,,,,,,,,,
26,"",,,,,,,,,,,,
27,"",,,,,,,,,,,,
28,"",,,,,,,,,,,,
29,"",,,,,,,,,,,,
30,"",,,,,,,,,,,,
31,"",,,,,,,,,,,,
32," ",0.600,0.600,0.600,0.600,0.278,0.278,0.278,0.278,0.250,0.250,0.250,0.250
33,"!",0.600,0.600,0.600,0.600,0.278,0.333,0.278,0.333,0.333,0.333,0.333,0.389
34,"\"",0.600,0.600,0.600,0.600,0.355,0.474,0.355,0.474,0.408,0.555,0.420,0.555
35,"#",0.600,0.600,0.600,0.600,0.556,0.556,0.556,0.556,0.500,0.500,0.500,0.500
36,"$",0.600,0.600,0.600,0.600,0.556,0.556,0.556,0.556,0.500,0.500,0.500,0.500
37,"%",0.600,0.600,0.600,0.600,0.889,0.889,0.889,0.889,0.833,1.000,0.833,0.833
38,"&",0.600,0.600,0.600,0.600,0.667,0.722,0.667,0.722,0.778,0.833,0.778,0.778
39,"'",0.600,0.600,0.600,0.600,0.191,0.238,0.191,0.238,0.180,0.278,0.214,0.278
40,"(",0.600,0.600,0.600,0.600,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333
41,")",0.600,0.600,0.600,0.600,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333
42,"*",0.600,0.600,0.600,0.600,0.389,0.389,0.389,0.389,0.500,0.500,0.500,0.500
43,"+",0.600,0.600,0.600,0.600,0.584,0.584,0.584,0.584,0.564,0.570,0.675,0.570
44,",",0.600,0.600,0.600,0.600,0.278,0.278,0.278,0.278,0.250,0.250,0.250,0.250
45,"-",0.600,0.600,0.600,0.600,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333
46,".",0.600,0.600,0.600,0.600,0.278,0.278,0.278,0.278,0.250,0.250,0.250,0.250
47,"/",0.600,0.600,0.600,0.600,0.278,0.278,0.278,0.278,0.278,0.278,0.278,0.278
